Total KAI,SO,E,R-G
46,19,8,19
50,19,7,24
51,24,12,15
53,26,9,18
54,30,7,17
56,29,12,15
57,22,16,19
57,24,15,18
59,22,13,25
60,28,8,24
60,26,12,23
60,23,11,26
61,27,10,24
63,27,14,23
63,24,10,29
63,32,9,22
64,23,15,28
64,27,12,25
64,28,12,24
64,24,24,16
64,30,11,24
65,30,10,25
65,31,11,23
65,25,15,25
65,26,17,22
66,24,19,23
66,27,16,23
66,31,11,24
67,25,12,30
67,26,17,24
67,30,11,27
67,26,12,29
67,23,17,28
67,30,12,25
68,29,11,29
68,32,16,20
68,33,12,23
68,29,14,26
68,31,14,24
69,31,17,21
69,29,20,20
69,22,18,29
70,35,13,24
70,27,15,28
70,30,15,27
70,28,11,31
70,26,13,31
70,36,9,25
71,36,13,23
71,29,16,26
71,32,9,30
71,37,14,20
71,29,13,30
71,36,13,22
71,35,12,24
71,35,9,28
72,34,9,29
72,35,9,28
72,30,12,30
72,29,18,26
72,34,11,27
73,33,18,22
73,33,13,28
73,29,15,29
73,36,13,24
74,38,13,23
74,36,11,27
74,32,15,27
74,32,16,26
74,37,9,28
74,31,15,28
75,32,15,28
75,44,8,24
75,28,16,31
76,30,13,33
76,32,25,20
76,30,12,34
76,30,16,31
76,30,12,34
76,37,11,28
77,32,17,30
77,28,19,30
77,28,17,34
77,44,8,25
77,31,17,29
78,30,22,27
78,32,20,27
78,40,7,31
78,39,14,26
78,31,19,28
79,33,15,32
79,41,16,22
79,33,20,26
79,32,16,31
80,29,14,38
80,36,16,28
80,33,14,33
80,31,19,30
80,42,13,25
80,35,16,29
81,36,16,29
81,42,17,22
81,39,14,28
81,48,9,24
81,30,17,35
82,47,8,27
82,30,13,41
82,31,21,30
82,35,17,30
82,36,18,28
82,33,19,30
82,36,19,28
82,36,16,30
82,39,11,32
83,27,19,38
83,34,16,34
83,40,16,27
83,38,14,31
83,31,17,35
83,37,17,29
83,38,14,31
83,37,16,30
83,39,15,30
84,42,14,28
84,44,11,29
84,36,15,33
84,38,17,29
84,40,10,34
84,43,9,33
84,37,20,27
84,36,16,32
84,42,15,27
84,35,15,34
84,34,18,32
84,39,16,30
85,30,20,36
85,36,19,30
