brakeID,qbrk, lbrk, hbrk, wbrk, tbrk, rbrk
B1,0.4,0.1,0.0425,0.02,0.35,0.025
B2,0.4,0.14,0.049,0.0175,0.35,0.025
B3,0.4,0.14,0.0615,0.0175,0.35,0.028
B4,0.5,0.1,0.038,0.016,0.35,0.03
B5,0.5,0.1,0.0425,0.02,0.355,0.032
B6,0.5,0.104,0.0375,0.016,0.355,0.03
B7,0.5,0.11,0.052,0.014,0.35,0.032
B8,0.5,0.132,0.042,0.018,0.355,0.028
B9,0.5,0.132,0.049,0.016,0.32,0.032
B10,0.5,0.132,0.052,0.017,0.355,0.028
B11,0.5,0.14,0.049,0.0175,0.35,0.03
B12,0.5,0.14,0.0615,0.0175,0.32,0.028
B13,0.5,0.164,0.049,0.018,0.355,0.03
B14,0.5,0.164,0.051,0.025,0.355,0.028
B15,0.5,0.104,0.0325,0.016,0.32,0.03
B16,0.5,0.1135,0.04,0.016,0.35,0.025
B17,0.5,0.152,0.054,0.025,0.35,0.028
B18,0.52,0.1,0.0425,0.02,0.35,0.028
B19,0.52,0.132,0.049,0.022,0.35,0.03
B20,0.52,0.14,0.049,0.0175,0.33,0.025
B21,0.52,0.14,0.0615,0.0175,0.355,0.032
B22,0.52,0.164,0.051,0.025,0.35,0.032
B23,0.52,0.14,0.042,0.0175,0.35,0.028
B24,0.52,0.164,0.0645,0.029,0.355,0.028
B25,0.52,0.164,0.0645,0.025,0.35,0.025
B26,0.52,0.152,0.054,0.028,0.355,0.032
B27,0.63,0.1,0.0425,0.02,0.32,0.028
B28,0.63,0.132,0.049,0.025,0.35,0.025
B29,0.63,0.14,0.049,0.0175,0.355,0.03
B30,0.63,0.14,0.0615,0.0175,0.35,0.025
B31,0.63,0.164,0.051,0.022,0.33,0.03
B32,0.63,0.14,0.042,0.0175,0.35,0.025
B33,0.63,0.164,0.0645,0.025,0.355,0.032
B34,0.63,0.152,0.054,0.025,0.32,0.03
