,ID,Name,Length,Width,Height,Mass,Power,Torque
0,M1,GX200,0.321,0.376,0.34600000000000003,16.1,4157,912.4
1,M2,GX240,0.38,0.429,0.42200000000000004,27.5,5980,18.3
2,M3,GX270,0.38,0.429,0.42200000000000004,25.0,6208,19.1
3,M4,GX340,0.40700000000000003,0.485,0.449,31.5,7866,26.4
4,M5,GXV340,0.433,0.382,0.406,32.3,6677,21.6
5,M6,GX390,0.40700000000000003,0.485,0.449,31.5,8839,26.4
6,M7,GXV390,0.433,0.382,0.406,33.3,7470,24.2
7,M8,GX610-QZE Type,0.447,0.49,0.452,43.0,13539,43.05
8,M9,GX610-QDF Type,0.386,0.456,0.452,41.0,15119,44.13
9,M10,QCV520,0.45799999999999996,0.42700000000000005,0.331,30.5,9938,33.2
10,M11,GXV520,0.45799999999999996,0.42700000000000005,0.331,30.5,9942,32.9
11,M12,GCV520-QEA Type,0.456,0.42700000000000005,0.331,30.5,9829,35.9
12,M13,GCV530-QEA Type,0.456,0.42700000000000005,0.331,30.5,11358,36.5
13,M14,GXV530-QEA Type,0.456,0.42700000000000005,0.331,30.5,9735,35.9
14,M15,GD320,0.445,0.46,0.465,48.0,5207,15.7
15,M16,GD410,0.465,0.465,0.48,54.0,6571,20.6
16,M17,iGX440 (shaft type S),0.40700000000000003,0.505,0.545,39.4,9377,29.8
17,M18,iGX440 (Shaft type V),0.5529999999999999,0.5529999999999999,0.34600000000000003,42.8,9346,29.8
18,M19,iGX390,0.395,0.484,0.313,31.4,8661,26.5
19,M20,iGX270,0.384,0.46799999999999997,0.303,26.2,6179,19.1
20,M21,iGX 240 (with fuel tank?),0.355,0.462,0.42200000000000004,30.3,5944,18.3
21,M22,iGX340 (with fuel tank),0.38,0.484,0.44799999999999995,36.4,7927,26.4
22,M23,iGX340 (low profile),0.405,0.484,0.313,31.4,8088,26.4
