id,krsp,crsp,mrsp,kfsp,cfsp,mfsp
S1,4000,600,0.3,4000,600,0.3
S2,21000,2000,0.3,21000,2000,0.3
S3,21000,2000,0.3,21000,2000,0.3
S4,21000,2000,0.3,21000,2000,0.3
S5,21000,2000,0.3,21000,2000,0.3
S6,21000,2000,0.3,21000,2000,0.3
S7,21000,2000,0.3,21000,2000,0.3
S8,24000,2250,0.3,24000,2250,0.3
S9,26000,2300,0.3,26000,2300,0.3
S10,28000,2500,0.3,28000,2500,0.3
S11,28000,2500,0.3,28000,2500,0.3
S12,28000,2500,0.3,28000,2500,0.3
S13,28000,2500,0.3,28000,2500,0.3
S14,28000,2500,0.3,28000,2500,0.3
S15,28000,2500,0.3,28000,2500,0.3
