,id,krsp,crsp,mrsp,kfsp,cfsp,mfsp
0,S1,3982,600,0.3,3982,600,0.3
1,S2,21189,2000,0.3,21189,2000,0.3
2,S3,20784,2000,0.3,20784,2000,0.3
3,S4,21231,2000,0.3,21231,2000,0.3
4,S5,20650,2000,0.3,20650,2000,0.3
5,S6,20973,2000,0.3,20973,2000,0.3
6,S7,20731,2000,0.3,20731,2000,0.3
7,S8,23816,2250,0.3,23816,2250,0.3
8,S9,25918,2300,0.3,25918,2300,0.3
9,S10,28132,2500,0.3,28132,2500,0.3
10,S11,27517,2500,0.3,27517,2500,0.3
11,S12,28183,2500,0.3,28183,2500,0.3
12,S13,27961,2500,0.3,27961,2500,0.3
13,S14,27679,2500,0.3,27679,2500,0.3
14,S15,27490,2500,0.3,27490,2500,0.3
